Product ID,Product Name,Main Category,Actual Price (Rs),Discounted Price (Rs),Discount Amount (Rs),Discount %,Discount Label,Rating,Rating Count,Rating Label,Price Category,Value Score
B08CHKQ8D4,"Wayona Type C to Lightning MFI Certified 20W Fast charging Nylon Braided USB C Cable for iPhone 14, 14 Pro, 14 Pro Max, 14 Plus, 13, 13 Pro, 13 Pro Max, 13 Mini, 12, 12 Pro, 11, 11 Pro Max iPhone 12 Mini, X, 8 (2M, Grey)",Computers&Accessories,"1,499.00",719.00,780.00,52.00,High (>50%),4.1,"1,045",Good (4-4.5),Mid-range (500-2000),67.00
B09BW334ML,Dealfreez Case Compatible with Fire TV Stick 3rd Gen 2021 Full Wrap Silicone Remote Cover Anti-Lost with Loop (D-Black),Electronics,"1,499.00",349.00,"1,150.00",77.00,High (>50%),4.3,"4,145",Good (4-4.5),Mid-range (500-2000),81.50
B082T6GVLJ,"Amazon Basics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad (3-Ft, Rose Gold)",Computers&Accessories,"1,809.00",849.00,960.00,53.00,High (>50%),4.3,"6,547",Good (4-4.5),Mid-range (500-2000),69.50
B07DL1KC3H,Isoelite Remote Compatible for Samsung LED/LCD Remote Control Works with All Samsung LED/LCD TV Model No :- BN59-607A (Please Match The Image with Your Old Remote),Electronics,899.00,299.00,600.00,67.00,High (>50%),4.0,"1,588",Good (4-4.5),Mid-range (500-2000),73.50
B0B6F98KJJ,MI 100 cm (40 inches) 5A Series Full HD Smart Android LED TV with 24W Dolby Audio & Metal Bezel-Less Frame (Black) (2022 Model),Electronics,"29,999.00","21,999.00","8,000.00",27.00,Medium (20-50%),4.2,"32,840",Good (4-4.5),Premium (>2000),55.50
B07JNVF678,"Wayona Nylon Braided USB Data Sync and Fast Charging 3A Short Power Bank Cable For iPhones, iPad Air, iPad mini, iPod Nano and iPod Touch (Grey)",Computers&Accessories,999.00,349.00,650.00,65.00,High (>50%),4.2,"13,120",Good (4-4.5),Mid-range (500-2000),74.50
B09QGZFBPM,"Wayona Type C To Type C Long Fast Charging Cable Type C Charger Cord Compatible With Samsung S22 S20 S20 Fe 2022 S22 Ultra S21 Ultra A70 A51 A53 A33 A73 M51 M31 M33 M53 (Grey, 2M, 65W, 6Ft)",Computers&Accessories,999.00,399.00,600.00,60.00,High (>50%),4.3,"2,806",Good (4-4.5),Mid-range (500-2000),73.00
B07JGDB5M1,"Wayona Nylon Braided 2M / 6Ft Fast Charge Usb To Lightning Data Sync And Charging Cable For Iphone, Ipad Tablet (6 Ft Pack Of 1, Grey)",Computers&Accessories,"1,299.00",449.00,850.00,65.00,High (>50%),4.2,"24,269",Good (4-4.5),Mid-range (500-2000),74.50
B0981XSZJ7,CROSSVOLT Compatible Dash/Warp Data Sync Fast Charging Cable Supported for All C Type Devices (Cable),Computers&Accessories,999.00,299.00,700.00,70.00,High (>50%),4.3,766,Good (4-4.5),Mid-range (500-2000),78.00
B0B9XLX8VR,VU 139 cm (55 inches) The GloLED Series 4K Smart LED Google TV 55GloLED (Grey),Electronics,"65,000.00","37,999.00","27,001.00",42.00,Medium (20-50%),4.3,"3,587",Good (4-4.5),Premium (>2000),64.00
B08Y5KXR6Z,"PTron Solero T241 2.4A Type-C Data & Charging USB Cable, Made in India, 480Mbps Data Sync, Durable 1-Meter Long USB Cable for Type-C USB Devices for Charging Adapter (Black)",Computers&Accessories,800.00,99.00,701.00,88.00,High (>50%),3.9,"24,871",Average (3-4),Mid-range (500-2000),83.00
B09F6VHQXB,"Croma 80 cm (32 Inches) HD Ready LED TV (CREL7369, Black) (2021 Model)",Electronics,"20,000.00","7,390.00","12,610.00",63.00,High (>50%),4.1,"2,581",Good (4-4.5),Premium (>2000),72.50
B0974G5Q2Y,"boAt Laptop, Smartphone Type-c A400 Male Data Cable (Carbon Black)",Computers&Accessories,999.00,273.10,725.90,73.00,High (>50%),4.3,"20,850",Good (4-4.5),Mid-range (500-2000),79.50
B09YL9SN9B,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Electronics,"23,990.00","15,990.00","8,000.00",33.00,Medium (20-50%),4.3,"1,035",Good (4-4.5),Premium (>2000),59.50
B09RX1FK54,"boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A Fast Charging & 480Mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Radiant Red)",Computers&Accessories,999.00,399.00,600.00,60.00,High (>50%),4.1,"1,780",Good (4-4.5),Mid-range (500-2000),71.00
B09TT6BFDX,Cotbolt Silicone Protective Case Cover for LG an MR21GA Magic Remote Shockproof for LG Smart TV Remote 2021 Protective Skin Waterproof Anti Lost (Black) (Remote Not Included),Electronics,"1,999.00",399.00,"1,600.00",80.00,High (>50%),4.5,505,Excellent (>=4.5),Mid-range (500-2000),85.00
B09KH58JZR,Portronics Konnect L POR-1403 Fast Charging 3A Type-C Cable 1.2 Meter with Charge & Sync Function for All Type-C Devices (White),Computers&Accessories,399.00,210.00,189.00,47.00,Medium (20-50%),4.1,"1,717",Good (4-4.5),Budget (<500),64.50
B09DDCQFMT,Electvision Remote Control Compatible with Amazon Fire tv Stick (Pairing Manual Will be Back Side Remote Control)(P),Electronics,"1,999.00","1,299.00",700.00,35.00,Medium (20-50%),3.6,590,Average (3-4),Mid-range (500-2000),53.50
B08RP2L2NL,"King Shine Multi Retractable 3.0A Fast Charger Cord, Multiple Charging Cable 4Ft/1.2m 3-in-1 USB Charge Cord Compatible with Phone/Type C/Micro USB for All Android and iOS Smartphones (Random Colour)",Computers&Accessories,999.00,347.00,652.00,65.00,High (>50%),3.5,"1,121",Average (3-4),Mid-range (500-2000),67.50
B0B4G2MWSB,"Lapster 5 pin mini usb cable, usb b cable,camera cable usb2.0 for External HDDS/Card Readers/Camera etc.",Computers&Accessories,999.00,149.00,850.00,85.00,High (>50%),4.0,"1,313",Good (4-4.5),Mid-range (500-2000),82.50
B0B21C4BMX,"Portronics Konnect Spydr 31 3-in-1 Multi Functional Cable with 3.0A Output, Tangle Resistant, 1.2M Length, Nylon Braided(Zebra)",Computers&Accessories,899.00,228.00,671.00,75.00,High (>50%),3.8,132,Average (3-4),Mid-range (500-2000),75.50
B084MZXJNK,"Belkin Apple Certified Lightning To Type C Cable, Tough Unbreakable Braided Fast Charging For Iphone, Ipad, Air Pods, 3.3 Feet (1 Meters)    White",Computers&Accessories,"1,999.00","1,599.00",400.00,20.00,Medium (20-50%),4.4,"1,951",Good (4-4.5),Mid-range (500-2000),54.00
B0BHZCNC4P,Remote Control Compatible for Amazon Fire Tv Stick Remote Control [ 3rd Gen ](Not Compatible for Fire TV Edition Smart TV) from basesailor,Electronics,"3,999.00","1,499.00","2,500.00",63.00,High (>50%),3.7,37,Average (3-4),Premium (>2000),68.50
B0B16KD737,VW 80 cm (32 inches) Playwall Frameless Series HD Ready Android Smart LED TV VW3251 (Black),Electronics,"15,999.00","8,499.00","7,500.00",47.00,Medium (20-50%),4.3,592,Good (4-4.5),Premium (>2000),66.50
B099K9ZX65,Hisense 108 cm (43 inches) 4K Ultra HD Smart Certified Android LED TV 43A6GE (Black),Electronics,"44,990.00","20,990.00","24,000.00",53.00,High (>50%),4.1,"1,259",Good (4-4.5),Premium (>2000),67.50
B08Y55LPBF,Redmi 126 cm (50 inches) 4K Ultra HD Android Smart LED TV X50 | L50M6-RA (Black),Electronics,"44,999.00","32,999.00","12,000.00",27.00,Medium (20-50%),4.2,"45,238",Good (4-4.5),Premium (>2000),55.50
B015OW3M1W,AmazonBasics 6-Feet DisplayPort (not USB port) to HDMI Cable Black,Electronics,"1,700.00",799.00,901.00,53.00,High (>50%),4.1,"28,638",Good (4-4.5),Mid-range (500-2000),67.50
B01D5H8ZI8,AmazonBasics 3 Feet High Speed HDMI Male to Female 2.0 Extension Cable,Electronics,595.00,229.00,366.00,62.00,High (>50%),4.3,"12,835",Good (4-4.5),Mid-range (500-2000),74.00
B09X1M3DHX,iFFALCON 80 cm (32 inches) HD Ready Smart LED TV 32F53 (Black),Electronics,"27,990.00","9,999.00","17,991.00",64.00,High (>50%),4.2,"1,269",Good (4-4.5),Premium (>2000),74.00
B09MM6P76N,7SEVEN® Compatible Lg Smart Tv Remote Suitable for Any LG LED OLED LCD UHD Plasma Android Television and AKB75095303 replacement of Original Lg Tv Remote Control,Electronics,599.00,349.00,250.00,42.00,Medium (20-50%),4.2,284,Good (4-4.5),Mid-range (500-2000),63.00
B01D5H8LDM,"AmazonBasics 3.5mm to 2-Male RCA Adapter Cable For Tablet, Smartphone (Black, 15 feet)",Electronics,"1,200.00",489.00,711.00,59.00,High (>50%),4.4,"69,538",Good (4-4.5),Mid-range (500-2000),73.50
B0B1YY6JJL,Acer 109 cm (43 inches) I Series 4K Ultra HD Android Smart LED TV AR43AR2851UDFL (Black),Electronics,"34,990.00","23,999.00","10,991.00",31.00,Medium (20-50%),4.3,"4,703",Good (4-4.5),Premium (>2000),58.50
B09QGZM8QB,"Wayona Usb Type C 65W 6Ft/2M Long Fast Charging Cable Compatible For Samsung S22 S20 Fe S21 Ultra A33 A53 A01 A73 A70 A51 M33 M53 M51 M31(2M, Black)",Computers&Accessories,999.00,399.00,600.00,60.00,High (>50%),4.3,"2,806",Good (4-4.5),Mid-range (500-2000),73.00
B08L4SBJRY,"Saifsmart Outlet Wall Mount Hanger Holder for Dot 3rd Gen, Compact Bracket Case Plug and Built-in Cable Management for Kitchen Bathroom, Bedroom (Black)",Electronics,"1,299.00",349.00,950.00,73.00,High (>50%),4.0,"3,295",Good (4-4.5),Mid-range (500-2000),76.50
B09X79PP8F,"MI 2-in-1 USB Type C Cable (Micro USB to Type C) 30cm for Smartphone, Headphone, Laptop (White)",Computers&Accessories,299.00,179.00,120.00,40.00,Medium (20-50%),3.9,81,Average (3-4),Budget (<500),59.00
B082T6GVG9,"AmazonBasics New Release ABS USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad Tablet (3-Ft, White)",Computers&Accessories,"1,500.00",689.00,811.00,54.00,High (>50%),4.2,"42,301",Good (4-4.5),Mid-range (500-2000),69.00
B0B3XY5YT4,LG 108 cm (43 inches) 4K Ultra HD Smart LED TV 43UQ7500PSF (Ceramic Black),Electronics,"49,990.00","30,990.00","19,000.00",38.00,Medium (20-50%),4.3,"1,376",Good (4-4.5),Premium (>2000),62.00
B0B4HKH19N,"pTron Solero 331 3.4Amps Multifunction Fast Charging Cable, 3-in-1 USB Cable Micro USB/Type-C/iOS, Made in India, Durable & Strong & Tangle-free 118cm in Length (Black)",Computers&Accessories,931.00,249.00,682.00,73.00,High (>50%),3.9,"1,075",Average (3-4),Mid-range (500-2000),75.50
B08TGG316Z,"10k 8k 4k HDMI Cable, Certified 48Gbps 1ms Ultra High Speed HDMI 2.1 Cable 4k 120Hz 144Hz 2k 165Hz 8k 60Hz Dynamic HDR ARC eARC DTS:X Compatible for Mac Gaming PC Soundbar TV Monitor Laptop PS5 4 Xbox",Electronics,"2,399.00",999.00,"1,400.00",58.00,High (>50%),4.6,"3,664",Excellent (>=4.5),Premium (>2000),75.00
B071VMP1Z4,LRIPL Compatible Sony Bravia LCD/led Remote Works with Almost All Sony led/LCD tv's,Electronics,399.00,399.00,0.00,0.00,Low (<20%),3.9,"1,951",Average (3-4),Budget (<500),39.00
B071SDRGWL,"boAt Type-c A400 Type-c to USB A Cable for All Type C Phones (Lg nexus 5x), 1Mtr(Black)",Computers&Accessories,699.00,349.00,350.00,50.00,Medium (20-50%),4.3,"20,850",Good (4-4.5),Mid-range (500-2000),68.00
B08PSQRW2T,"Zoul Type C to Type C Fast Charging Cable 65W 2M/6ft USB C Nylon Braided Cord Compatible with MacBook Oneplus 9 9R Samsung Galaxy S21 Ultra S20+ (2M, Black)",Computers&Accessories,"1,099.00",399.00,700.00,64.00,High (>50%),4.1,"2,685",Good (4-4.5),Mid-range (500-2000),73.00
B0859M539M,"TP-LINK AC1300 Archer T3U Plus High Gain USB 3.0 Wi-Fi Dongle, Wireless Dual Band MU-MIMO WiFi Adapter with High Gain Antenna, Supports Windows 11/10/8.1/8/7/XP/MacOS",Computers&Accessories,"2,999.00","1,699.00","1,300.00",43.00,Medium (20-50%),4.4,"24,780",Good (4-4.5),Premium (>2000),65.50
B08RX8G496,"LRIPL Mi Remote Control with Netflix & Prime Video Button Compatible for Mi 4X LED Android Smart TV 4A Remote Control (32""/43"") with Voice Command (Pairing Required)",Electronics,"1,099.00",655.00,444.00,40.00,Medium (20-50%),3.2,285,Average (3-4),Mid-range (500-2000),52.00
B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",Computers&Accessories,"1,339.00",749.00,590.00,44.00,Medium (20-50%),4.2,"4,664",Good (4-4.5),Mid-range (500-2000),64.00
B08CS3BT4L,Kodak 80 cm (32 inches) HD Ready Certified Android LED TV 32HDX7XPRO (Black),Electronics,"12,999.00","9,999.00","3,000.00",23.00,Medium (20-50%),4.2,"6,088",Good (4-4.5),Premium (>2000),53.50
B00RFWNJMC,Airtel DigitalTV DTH Remote SD/HD/HD Recording Compatible for Television (Shining Black ),Electronics,499.00,195.00,304.00,61.00,High (>50%),3.7,"1,383",Average (3-4),Budget (<500),67.50
B082T6GXS5,"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, MFi Certified Charger for Apple iPhone, iPad, Silver, 6-Ft",Computers&Accessories,"2,100.00",999.00,"1,101.00",52.00,High (>50%),4.5,"5,492",Excellent (>=4.5),Premium (>2000),71.00
B09CMQRQM6,"Ambrane Fast 100W Output Cable with Type-C to Type-C for Mobile, Laptop, Macbook & Table Charging, 480mbps Data Sync Speed, Braided Cable, 1.5m Length (ABCC-100, Black-Grey)",Computers&Accessories,899.00,499.00,400.00,44.00,Medium (20-50%),4.2,919,Good (4-4.5),Mid-range (500-2000),64.00
B005LJQMCK,"BlueRigger Digital Optical Audio Toslink Cable (3.3 Feet / 1 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)",Electronics,599.00,416.00,183.00,31.00,Medium (20-50%),4.2,"30,023",Good (4-4.5),Mid-range (500-2000),57.50
B09C6H53KH,"Duracell Type-C To Micro 1.2M braided Sync & Charge Cable, USB C to Micro Fast Charge Compatible for fast data transmission (Black)",Computers&Accessories,699.00,368.00,331.00,47.00,Medium (20-50%),4.2,387,Good (4-4.5),Mid-range (500-2000),65.50
B0BB3CBFBM,VU 138 cm (55 inches) Premium Series 4K Ultra HD Smart IPS LED TV 55UT (Black),Electronics,"65,000.00","29,990.00","35,010.00",54.00,High (>50%),4.1,211,Good (4-4.5),Premium (>2000),68.00
B08QSDKFGQ,"Zoul USB Type C Fast Charging 3A Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31s M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (1M, Grey)",Computers&Accessories,"1,099.00",339.00,760.00,69.00,High (>50%),4.3,974,Good (4-4.5),Mid-range (500-2000),77.50
B08PV1X771,Samsung 80 cm (32 inches) Wondertainment Series HD Ready LED Smart TV UA32TE40AAKBXL (Titan Gray),Electronics,"20,900.00","15,490.00","5,410.00",26.00,Medium (20-50%),4.3,"16,299",Good (4-4.5),Premium (>2000),56.00
B07YTNKVJQ,MI Xiaomi USB Type C HYperCharge Cable 6A 100cm Sturdy and Durable Black Supports 120W HyperCharging,Computers&Accessories,"1,299.00",499.00,800.00,62.00,High (>50%),4.3,"30,411",Good (4-4.5),Mid-range (500-2000),74.00
B0117H7GZ6,GENERIC Ultra-Mini Bluetooth CSR 4.0 USB Dongle Adapter for Windows Computer ( Black:Golden),Computers&Accessories,399.00,249.00,150.00,38.00,Medium (20-50%),3.4,"4,642",Average (3-4),Budget (<500),53.00
B09XJ1LM7R,7SEVEN® Compatible for Tata Sky Remote Original Set Top HD Box and Suitable for SD Tata Play setup Box Remote Control,Electronics,799.00,399.00,400.00,50.00,Medium (20-50%),4.3,12,Good (4-4.5),Mid-range (500-2000),68.00
B084N133Y7,"Belkin Apple Certified Lightning To Type C Cable, Fast Charging For Iphone, Ipad, Air Pods, 3.3 Feet (1 Meters)    White",Computers&Accessories,"1,999.00","1,499.00",500.00,25.00,Medium (20-50%),4.4,"1,951",Good (4-4.5),Mid-range (500-2000),56.50
B088Z1YWBC,"EGate i9 Pro-Max 1080p Native Full HD Projector 4k Support | 3600 L (330 ANSI ) | 150"" (381 cm) Large Screen | VGA, AV, HDMI, SD Card, USB, Audio Out | (E03i31 / E04i32) Black",Electronics,"15,990.00","9,490.00","6,500.00",41.00,Medium (20-50%),3.9,"10,480",Average (3-4),Premium (>2000),59.50
B07VSG5SXZ,"ZEBRONICS HAA2021 HDMI version 2.1 cable with 8K @ 60Hz, 4K @ 120Hz, eARC & CEC support, 3D compatible, 2 meters length, 48Gbps max and Gold-plated connectors",Electronics,"1,499.00",637.00,862.00,58.00,High (>50%),4.1,24,Good (4-4.5),Mid-range (500-2000),70.00
B08RWCZ6SY,7SEVEN® Compatible for Sony Bravia LCD LED UHD OLED QLED 4K Ultra HD TV remote control with YouTube and NETFLIX Hotkeys. Universal Replacement for Original Sony Smart Android tv Remote Control,Electronics,899.00,399.00,500.00,56.00,High (>50%),3.9,254,Average (3-4),Mid-range (500-2000),67.00
B07KSB1MLX,AmazonBasics Digital Optical Coax to Analog RCA Audio Converter Adapter with Fiber Cable,Electronics,"1,600.00","1,089.00",511.00,32.00,Medium (20-50%),4.0,"3,565",Good (4-4.5),Mid-range (500-2000),56.00
B081FG1QYX,"Wayona Type C Cable Nylon Braided USB C QC 3.0 Fast Charging Short Power Bank Cable for Samsung Galaxy S10e/S10+/S10/S9/S9+/Note 9/S8/Note 8, LG G7 G5 G6, Moto G6 G7 (0.25M, Black)",Computers&Accessories,999.00,339.00,660.00,66.00,High (>50%),4.3,"6,255",Good (4-4.5),Mid-range (500-2000),76.00
B08R69WBN7,"Pinnaclz Original Combo of 2 USB Type C Fast Charging Cable, USB C Data Cable for Charging and Data Transfer Smart Phones White 1.2 Meter Made in India (Pack of 2)",Computers&Accessories,499.00,149.00,350.00,70.00,High (>50%),4.0,"7,732",Good (4-4.5),Budget (<500),75.00
B0B3RHX6B6,Ambrane BCL-15 Lightning Cable for Smartphone (1.5m Black),Computers&Accessories,399.00,149.00,250.00,63.00,High (>50%),3.9,57,Average (3-4),Budget (<500),70.50
B084N18QZY,"Belkin USB C to USB-C Fast Charging Type C Cable, 60W PD, 3.3 feet (1 meter) for Laptop, Personal Computer, Tablet, Smartphone - Black, USB-IF Certified",Computers&Accessories,849.00,599.00,250.00,29.00,Medium (20-50%),4.5,577,Excellent (>=4.5),Mid-range (500-2000),59.50
B081NHWT6Z,LOHAYA Television Remote Compatible with Samsung Smart LED/LCD/HD TV Remote Control [ Compatible for All Samsung Tv Remote Control ],Electronics,"1,199.00",299.00,900.00,75.00,High (>50%),3.9,"1,193",Average (3-4),Mid-range (500-2000),76.50
B07JPJJZ2H,"Wayona Nylon Braided Lightning USB Data Sync & 3A Charging Cable for iPhones, iPad Air, iPad Mini, iPod Nano and iPod Touch (3 FT Pack of 1, Grey)",Computers&Accessories,"1,299.00",399.00,900.00,69.00,High (>50%),4.2,"13,120",Good (4-4.5),Mid-range (500-2000),76.50
